City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,iqaluit,63.7506,-68.5145,13.73,67,75,9.22,CA,1701632551
83,puerto natales,-51.7236,-72.4875,57.65,47,75,34.52,CL,1701632557
84,al hilaliyya,14.9398,33.234,82.49,25,6,10.83,SD,1701632561
85,geraldton,-28.7667,114.6,68.41,77,75,9.22,AU,1701632562
86,rye,40.9807,-73.6837,51.93,90,100,10.36,US,1701632564
87,inhambane,-23.865,35.3833,75.18,78,20,9.22,MZ,1701632566
88,necochea,-38.5473,-58.7368,60.71,42,23,19.35,AR,1701632568
89,barra de santo antonio,-9.4047,-35.5072,85.28,80,100,11.65,BR,1701632569
90,yellowknife,62.456,-114.3525,-5.28,77,100,0.0,CA,1701632571
91,ostersund,63.1792,14.6357,12.65,92,100,1.14,SE,1701632573
92,howard springs,-12.497,131.047,78.71,96,100,1.9,AU,1701632575
93,aghsu,40.5703,48.4009,55.69,44,4,2.82,AZ,1701632576
94,turan,16.0678,108.2208,78.78,83,75,4.61,VN,1701632578
95,norfolk,42.1668,-71.2495,45.66,96,100,3.0,US,1701632324
96,beaufort,5.3473,115.7455,75.45,95,99,2.73,MY,1701632582
97,quzhou,28.9594,118.8686,46.51,89,100,3.83,CN,1701632584
98,aguas belas,-9.1114,-37.1231,90.68,33,76,9.28,BR,1701632585
99,bay roberts,47.5999,-53.2648,34.52,76,54,3.0,CA,1701632587
100,roccella ionica,38.322,16.4009,57.94,71,99,9.53,IT,1701632589
101,fale old settlement,-9.3852,-171.2468,84.45,75,95,15.93,TK,1701632591
102,susuman,62.7833,148.1667,-27.62,98,100,1.41,RU,1701632593
103,east london,-33.0153,27.9116,69.91,82,99,11.86,ZA,1701632595
104,minas de marcona,-15.2119,-75.1103,68.43,56,81,16.13,PE,1701632597
105,whitehorse,60.7161,-135.0538,15.1,92,100,3.44,CA,1701632601
106,ponta delgada,37.7333,-25.6667,57.92,62,20,5.75,PT,1701632603
107,udachny,66.4167,112.4,-44.7,100,68,3.36,RU,1701632605
108,aasiaat,68.7098,-52.8699,12.54,86,100,3.8,GL,1701632606
109,enewetak,11.3474,162.3373,81.9,76,99,22.3,MH,1701632608
110,pudozh,61.8099,36.5345,5.95,98,86,3.0,RU,1701632466
111,camanducaia,-22.7553,-46.1447,83.93,53,14,2.35,BR,1701632612
112,sawai madhopur,25.9833,76.3667,61.99,88,69,3.42,IN,1701632614
113,yerofey pavlovich,53.9667,121.9667,-5.84,97,27,3.31,RU,1701632616
